text,category
Expense reimbursement pending too long,Billing
Account locked after too many attempts,Access
PowerPoint keeps crashing while saving please help,Software
Mouse not detected via USB please help,Hardware
Need to be added to devops group,Access
Outlook not syncing emails,Software
Subscription renewal failed,Billing
Refund not processed yet,Billing
Need permission to shared drive Engineering please help,Access
Laptop battery drains quickly,Hardware
Webcam not turning on,Hardware
Slack notifications delayed please help,Software
Laptop battery drains quickly,Hardware
Account locked after too many attempts,Access
Unable to connect to printer over network,Network
Forgot password; need reset,Access
Forgot password; need reset,Access
Request access to Confluence project,Access
Payment charged twice on card,Billing
SSD making clicking noise,Hardware
Jira ticket creation failing with 500,Software
Account locked after too many attempts,Access
License cost center incorrect,Billing
Slack notifications delayed,Software
Network down on 2nd floor please help,Network
Mouse not detected via usb,Hardware
MFA not working on new phone,Access
Excel formulas not recalculating please help,Software
Laptop overheating during normal use please help,Hardware
DNS lookup failing for internal domains,Network
Purchase order status not updated,Billing
Excel formulas not recalculating please help,Software
Need invoice copy for March please help,Billing
Access revoked unexpectedly,Access
Sudo access required on build server,Access
Headset audio cutting out,Hardware
Subscription renewal failed please help,Billing
Headset audio cutting out please help,Hardware
VS Code extension install error,Software
Invoice shows wrong amount,Billing
Account locked after too many attempts,Access
Teams crashes when joining meeting,Software
Unable to connect to printer over network,Network
Laptop battery drains quickly,Hardware
Laptop overheating during normal use,Hardware
MFA not working on new phone please help,Access
Forgot password; need reset please help,Access
DNS lookup failing for internal domains,Network
Slack notifications delayed,Software
Vpn disconnects after login please help,Network
Webcam not turning on,Hardware
Forgot password; need reset,Access
Docking station not charging,Hardware
VS Code extension install error,Software
Access revoked unexpectedly please help,Access
Jira ticket creation failing with 500 please help,Software
Expense reimbursement pending too long please help,Billing
Expense reimbursement pending too long,Billing
Need invoice copy for June please help,Billing
Unable to connect to printer over network,Network
Chrome keeps freezing on startup,Software
Laptop keyboard not working please help,Hardware
DNS lookup failing for internal domains please help,Network
Refund not processed yet,Billing
Powerpoint keeps crashing while saving please help,Software
Credit card declined for corporate plan please help,Billing
PowerPoint keeps crashing while saving please help,Software
Tax calculation seems incorrect please help,Billing
Need to be added to engineering group,Access
Figma license not recognized after update please help,Software
License cost center incorrect,Billing
Invoice shows wrong amount,Billing
Network down on 4th floor,Network
Docking station not charging,Hardware
Excel formulas not recalculating,Software
VPN disconnects after login,Network
SSD making clicking noise please help,Hardware
Expense reimbursement pending too long,Billing
Printer paper jam error repeatedly please help,Hardware
Docking station not charging,Hardware
Invoice shows wrong amount,Billing
VPN disconnects after login please help,Network
Excel formulas not recalculating,Software
Webcam not turning on,Hardware
Unable to connect to printer over network,Network
License cost center incorrect,Billing
License cost center incorrect please help,Billing
Access revoked unexpectedly please help,Access
Zoom microphone not detected,Software
Laptop overheating during normal use please help,Hardware
License cost center incorrect,Billing
Jira license not recognized after update,Software
Laptop battery drains quickly,Hardware
Wi-fi shows connected but no internet please help,Network
Excel formulas not recalculating,Software
Forgot password; need reset,Access
Dns lookup failing for internal domains please help,Network
License cost center incorrect please help,Billing
Access revoked unexpectedly,Access
Laptop keyboard not working,Hardware
Docking station not charging please help,Hardware
License cost center incorrect,Billing
Packet loss on wired connection,Network
Docking station not charging please help,Hardware
Mouse not detected via USB,Hardware
